Type,Number,Title,Description,Status,Definition of Done (Success Criteria)
Feature,3.4,Object Storage Foundation (MiniO),Provide S3 API functionality required for enterprise data pipelines and backups (Velero).,Done,"1. MiniO Operator deployed via ArgoCD.
2. S3-compatible API reachable via internal NGINX Ingress.
3. Test bucket provisioned declaratively via YAML/SecretStore."
Feature,3.5,Serverless Execution (Knative),"Introduce Knative Serving to implement scale-to-zero FaaS capability, mirroring AWS Lambda.",In Progress,"1. Knative Serving layer active on cluster.
2. ""Scale-to-zero"" functionality verified for analytic functions.
3. Service routing configured for event-driven triggers."
Epic,4,Core Infrastructure Services,"Shared services for the cluster (Storage, Ingress, Certs).",To Do,"1. Shared services active (Storage, Ingress, Certs)
 2. Persistent volume claims binding successfully"
Feature,4.1,Longhorn Distributed Storage,"Implementing persistent, replicated block storage.",To Do,"1. Longhorn UI shows all disks active
 2. Volume replication verified across nodes"
Feature,4.2,Ingress & cert-manager,Automated SSL/TLS and HTTP routing.,To Do,"1. cert-manager issuing Let's Encrypt certificates
 2. Ingress controller routing external traffic"
Epic,5,Observability & Security Posture,"Implementing monitoring, alerting, hardening, and zero-trust policies.",To Do,"1. Metrics, logs, and traces visible in Grafana
 2. Security network policies enforced
 3. Scheduled backups verified"
Feature,5.1,LGTM Stack Deployment,"Loki, Grafana, Tempo, Mimir for full-stack observability.",To Do,"1. Prometheus scraping all targets
 2. Grafana dashboards displaying cluster health"
Feature,5.2,Network Policies,Hardening pod-to-pod communication. Implement default-deny CiliumNetworkPolicies across all namespaces.,To Do,"1. Default-deny policies active
 2. Namespace isolation verified via probe"
Feature,5.3,Velero Disaster Recovery,Automated backups of cluster state and volumes. Configure automated backups to off-site S3/NAS.,To Do,"1. S3/Minio backup target reachable
 2. Successful restore of a test namespace"
Epic,6,Data Layer & Analytics,The 'ORSA' workload layer.,To Do,"1. RStudio/VSCode accessible via ingress
 2. Postgres clusters healthy
 3. ML workflow foundations verified"
Feature,6.1,CloudNativePG,Highly available Postgres clusters.,To Do,"1. CNPG operator managing DB instances
 2. Database failover test passed"
Feature,6.2,RStudio & VSCode,Deploy Browser-based development environments (IDEs) as declarative Helm releases.,To Do,"1. User authentication integrated
 2. Persistent home directories mounting"
Feature,6.3,KubeFlow Staging,Deploy core KubeFlow components for ML workflows.,To Do,"1. Kubeflow dashboard accessible
 2. Sample training job completes successfully"
